1 4535.25  buy  2023.07.16 22:00:03 1689544803550
1 4535.25  buy  2023.07.16 22:00:03 1689544803550
1 4535.25  buy  2023.07.16 22:00:03 1689544803550
4 4535.25  buy  2023.07.16 22:00:03 1689544803550
1 4535.25  buy  2023.07.16 22:00:03 1689544803550
1 4535.5  buy  2023.07.16 22:00:03 1689544803550
3 4535.5  buy  2023.07.16 22:00:03 1689544803550
2 4535.5  buy  2023.07.16 22:00:03 1689544803550
1 4535.5  buy  2023.07.16 22:00:03 1689544803550
1 4535.5  buy  2023.07.16 22:00:03 1689544803550
5 4535.75  buy  2023.07.16 22:00:03 1689544803550
2 4535.75  buy  2023.07.16 22:00:03 1689544803553
1 4535.75  buy  2023.07.16 22:00:03 1689544803553
1 4535.75  buy  2023.07.16 22:00:03 1689544803553
1 4535.75  buy  2023.07.16 22:00:03 1689544803553
1 4535.75  buy  2023.07.16 22:00:03 1689544803553
1 4536.0  buy  2023.07.16 22:00:03 1689544803553
4 4535.75  sell  2023.07.16 22:00:03 1689544803553
2 4535.75  sell  2023.07.16 22:00:03 1689544803553
1 4535.5  sell  2023.07.16 22:00:03 1689544803553
1 4535.25  sell  2023.07.16 22:00:03 1689544803561
2 4535.25  sell  2023.07.16 22:00:03 1689544803561
1 4535.25  sell  2023.07.16 22:00:03 1689544803561
1 4535.25  sell  2023.07.16 22:00:03 1689544803570
1 4535.25  sell  2023.07.16 22:00:03 1689544803570
1 4535.25  buy  2023.07.16 22:00:03 1689544803570
2 4535.25  buy  2023.07.16 22:00:03 1689544803570
1 4535.25  buy  2023.07.16 22:00:03 1689544803570
1 4535.0  sell  2023.07.16 22:00:03 1689544803867
1 4535.0  sell  2023.07.16 22:00:03 1689544803867
1 4535.0  sell  2023.07.16 22:00:03 1689544803867
1 4535.0  buy  2023.07.16 22:00:03 1689544803963
3 4535.0  buy  2023.07.16 22:00:03 1689544803963
1 4535.0  buy  2023.07.16 22:00:03 1689544803963
1 4535.0  buy  2023.07.16 22:00:03 1689544803963
1 4535.25  sell  2023.07.16 22:00:03 1689544803963
1 4535.25  sell  2023.07.16 22:00:03 1689544803963
1 4535.25  sell  2023.07.16 22:00:03 1689544803963
1 4535.25  sell  2023.07.16 22:00:03 1689544803963
1 4535.5  buy  2023.07.16 22:00:04 1689544804078
1 4535.5  buy  2023.07.16 22:00:04 1689544804078
1 4535.5  buy  2023.07.16 22:00:04 1689544804078
1 4535.5  buy  2023.07.16 22:00:04 1689544804078
2 4535.5  buy  2023.07.16 22:00:04 1689544804078
1 4535.5  buy  2023.07.16 22:00:04 1689544804078
2 4535.5  sell  2023.07.16 22:00:04 1689544804078
1 4535.25  sell  2023.07.16 22:00:04 1689544804127
1 4535.5  buy  2023.07.16 22:00:04 1689544804186
1 4535.25  sell  2023.07.16 22:00:04 1689544804246
1 4535.25  sell  2023.07.16 22:00:05 1689544805308
1 4535.25  sell  2023.07.16 22:00:05 1689544805951
1 4535.5  buy  2023.07.16 22:00:06 1689544806214
2 4535.25  sell  2023.07.16 22:00:06 1689544806570
1 4535.25  sell  2023.07.16 22:00:06 1689544806570
2 4535.25  sell  2023.07.16 22:00:06 1689544806571
3 4535.5  buy  2023.07.16 22:00:07 1689544807175
1 4535.5  buy  2023.07.16 22:00:07 1689544807175
1 4535.5  buy  2023.07.16 22:00:07 1689544807175
1 4535.25  sell  2023.07.16 22:00:07 1689544807235
1 4535.5  buy  2023.07.16 22:00:07 1689544807337
1 4535.5  buy  2023.07.16 22:00:07 1689544807337
1 4535.25  sell  2023.07.16 22:00:07 1689544807430
1 4535.25  sell  2023.07.16 22:00:07 1689544807430
1 4535.25  sell  2023.07.16 22:00:07 1689544807430
1 4535.25  sell  2023.07.16 22:00:07 1689544807430
1 4535.25  sell  2023.07.16 22:00:07 1689544807430
1 4535.0  sell  2023.07.16 22:00:07 1689544807430
1 4535.0  sell  2023.07.16 22:00:07 1689544807430
1 4535.0  sell  2023.07.16 22:00:07 1689544807430
2 4535.0  sell  2023.07.16 22:00:07 1689544807430
1 4535.0  sell  2023.07.16 22:00:07 1689544807577
1 4535.25  buy  2023.07.16 22:00:07 1689544807577
1 4535.0  sell  2023.07.16 22:00:07 1689544807577
1 4535.0  sell  2023.07.16 22:00:07 1689544807577
1 4535.0  sell  2023.07.16 22:00:07 1689544807577
2 4535.0  buy  2023.07.16 22:00:07 1689544807804
1 4534.75  sell  2023.07.16 22:00:08 1689544808169
1 4534.75  sell  2023.07.16 22:00:08 1689544808286
1 4535.0  buy  2023.07.16 22:00:08 1689544808425
1 4534.75  sell  2023.07.16 22:00:08 1689544808545
2 4534.75  sell  2023.07.16 22:00:08 1689544808545
1 4534.75  sell  2023.07.16 22:00:08 1689544808545
1 4534.75  sell  2023.07.16 22:00:08 1689544808545
1 4534.75  sell  2023.07.16 22:00:08 1689544808594
1 4534.75  sell  2023.07.16 22:00:08 1689544808645
1 4534.75  sell  2023.07.16 22:00:08 1689544808645
1 4535.0  buy  2023.07.16 22:00:08 1689544808701
1 4535.0  buy  2023.07.16 22:00:08 1689544808701
1 4535.0  buy  2023.07.16 22:00:09 1689544809041
3 4535.0  buy  2023.07.16 22:00:09 1689544809041
1 4535.0  buy  2023.07.16 22:00:09 1689544809041
1 4535.0  buy  2023.07.16 22:00:09 1689544809041
1 4535.0  buy  2023.07.16 22:00:09 1689544809041
2 4535.0  buy  2023.07.16 22:00:09 1689544809041
1 4535.0  buy  2023.07.16 22:00:09 1689544809041
1 4535.0  sell  2023.07.16 22:00:09 1689544809464
